Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ANET,AJG,AIZ
2009-11-18,59.52522277832031,17.726289749145508,,9.029999732971193,32.05997085571289,10.637436866760254,36.59000015258789,7.320000171661378,39.80045700073242,10.478962898254396,14.225061416625975,19.235126495361328,57.68454360961914,24.51000022888184,6.478950023651122,29.26811408996582,43.584659576416016,22.604999542236328,16.459999084472653,,33.42218399047852,58.41358947753906,9.371848106384276,23.260482788085934,288.6136169433594,287.2483215332031,11.150856018066406,131.28999328613278,,16.820510864257812,3.0827643871307373,21.052047729492188,35.48735427856445,26.232852935791016,35.100509643554695,16.48396873474121,30.302936553955078,20.89457893371582,15.173425674438475,45.66792297363281,19.465221405029297,21.533302307128906,40.349998474121094,45.25502395629883,35.44715881347656,4.956574440002441,84.31268310546875,10.143387794494627,25.54024314880371,10.432710647583008,,24.44880294799805,,16.209318161010742,25.24356842041016
2009-11-19,59.10440444946289,17.6529541015625,,8.550000190734862,31.859601974487305,10.3685884475708,36.11000061035156,7.050000190734862,38.98421859741211,10.13202953338623,13.876871109008787,19.0196590423584,56.60395050048828,24.25,6.397412300109862,28.92857551574707,42.32007598876953,22.07999992370605,15.850000381469727,,33.10538101196289,57.14413452148438,9.280494689941406,22.989734649658203,286.7817687988281,285.4251708984375,11.098856925964355,128.99000549316406,,16.47603988647461,2.941352844238281,20.606538772583008,35.12027359008789,25.8701171875,34.654674530029304,16.514728546142578,29.782922744750977,20.74037742614746,15.038169860839846,45.60284423828125,19.05433654785156,21.183290481567386,39.849998474121094,45.02188491821289,34.588424682617195,4.75817346572876,82.04743957519531,9.657211303710938,24.86440658569336,10.124435424804688,,24.180721282958984,,15.77444839477539,24.84018325805664
2009-11-20,58.63769912719727,17.87961196899414,,8.140000343322754,31.923723220825195,10.198317527770996,35.810001373291016,6.949999809265138,38.6149787902832,9.97433090209961,13.959169387817385,18.876022338867188,56.67280197143555,23.940000534057614,6.452505111694336,28.9455509185791,41.71685791015625,21.850000381469727,15.539999961853027,,32.75132369995117,56.40919876098633,9.263579368591307,23.18882179260254,285.2652587890625,283.9158020019531,10.965970993041992,129.66000366210938,,16.430545806884766,2.9224984645843506,20.792724609375,34.94101333618164,25.46385765075684,34.843299865722656,16.376276016235348,29.60169982910156,20.98025321960449,15.038169860839846,45.04969024658203,18.98209381103516,20.909374237060547,39.810001373291016,45.02188491821289,34.552989959716804,4.775375843048097,81.54029846191406,9.856101036071776,24.791248321533203,9.962182998657227,,24.219024658203125,,15.753398895263672,24.78370857238769
2009-11-23,59.47168731689453,17.709617614746094,,8.539999961853027,32.492782592773445,10.261048316955566,36.43999862670898,7.0,38.274898529052734,10.12414264678955,14.206067085266113,19.117599487304688,57.113258361816406,24.59000015258789,6.536247253417969,29.20020294189453,41.782264709472656,21.854999542236328,15.8100004196167,,33.124011993408196,59.21533966064453,9.338011741638184,23.38789367675781,291.4664611816406,290.0876770019531,11.05263614654541,133.0,,16.638525009155273,2.9224984645843506,21.18503761291504,35.5385856628418,25.59443473815918,34.980484008789055,16.376276016235348,30.184749603271484,21.39146041870117,15.234910011291506,45.75739669799805,19.25752067565918,21.25938606262207,40.459999084472656,47.07697677612305,34.880565643310554,4.830422878265381,82.63909912109375,10.018159866333008,25.53031921386719,10.05953598022461,,24.39518928527832,,15.963827133178713,25.203227996826172
2009-11-24,59.37986373901367,18.079612731933594,,8.989999771118164,32.492782592773445,10.216240882873537,35.95000076293945,6.949999809265138,38.05139541625977,9.97433090209961,14.09211540222168,19.09148406982422,56.8448600769043,24.270000457763672,6.456912040710449,28.97101783752441,41.498817443847656,22.354999542236328,15.890000343322756,,34.521663665771484,59.70212173461914,9.32447910308838,23.085289001464844,291.8368225097656,290.456298828125,11.150856018066406,132.94000244140622,,16.749011993408207,3.1110470294952397,21.397815704345703,35.376373291015625,25.39131164550781,34.98905563354492,16.79933738708496,30.05080604553223,21.434297561645508,15.210312843322756,46.20480346679688,19.15818977355957,22.62899398803711,40.060001373291016,47.62959671020508,34.650390625,4.941666603088379,82.19114685058594,9.657211303710938,25.351749420166016,10.01897430419922,,23.94327735900879,,15.935770988464355,25.3000431060791
2009-11-25,59.60939407348633,18.136276245117188,,8.979999542236328,32.52484130859375,10.359626770019533,36.16999816894531,7.110000133514403,38.35262680053711,10.407998085021973,14.380167007446287,19.28736114501953,57.36106491088867,24.290000915527344,6.496579647064209,29.378454208374023,41.40434646606445,22.56999969482422,16.489999771118164,,35.22980880737305,59.81664657592773,9.385380744934082,23.33386039733887,293.1631774902344,291.7763366699219,11.087303161621094,134.02999877929688,,16.898504257202152,3.3278775215148926,21.384521484375,35.61541748046875,25.159162521362305,35.36628723144531,16.930099487304688,30.05080604553223,21.400026321411133,15.271799087524414,46.43257522583008,19.19430923461914,22.705081939697266,39.88000106811523,47.57777786254883,34.738906860351555,4.973775863647461,82.7912368774414,9.789803504943848,25.32075119018555,10.083871841430664,,24.050518035888672,,15.921740531921387,25.25139808654785
2009-11-27,58.72186660766602,18.02628326416016,,8.699999809265138,32.468734741210945,10.377549171447754,35.380001068115234,6.8499999046325675,38.33319091796875,10.076833724975586,13.81673526763916,18.836837768554688,56.51446533203125,23.920000076293945,6.48776388168335,28.724853515625,40.154293060302734,22.309999465942386,16.079999923706055,,34.43780517578125,58.900367736816406,9.219596862792967,22.668325424194336,290.170166015625,288.7975158691406,10.97752571105957,131.74000549316406,,16.62552833557129,3.2713129520416264,20.97890281677246,34.86417388916016,24.158021926879886,35.04906845092773,16.930099487304688,29.19198799133301,21.297229766845703,15.07505702972412,45.96075820922852,18.670534133911133,22.6365966796875,38.65999984741211,46.83517837524414,33.98642349243164,4.8636817932128915,80.93170928955078,9.465688705444336,24.87433433532715,9.970296859741213,,23.47606086730957,,15.592089653015135,24.52993011474609
2009-11-30,59.24980163574219,18.16294479370117,,8.460000038146973,32.893543243408196,10.20727825164795,35.080001831054695,7.010000228881836,38.18743896484375,10.045294761657717,14.570077896118164,18.88254737854004,57.07886505126953,24.0,6.589133739471436,28.64846229553223,40.96828079223633,22.690000534057614,16.360000610351562,,34.55892944335937,58.2131462097168,9.297410011291504,22.78058433532715,291.7917785644531,290.4114685058594,10.867751121520996,135.91000366210938,,16.89200210571289,3.478715658187866,21.404464721679688,35.70932006835937,20.60323715209961,35.083370208740234,17.10701560974121,30.03504943847656,21.151588439941406,14.984886169433596,45.83875274658203,18.602806091308594,22.81921577453613,38.93999862670898,46.65387725830078,34.28741455078125,4.8074870109558105,80.53445434570312,9.951864242553713,24.790002822875977,9.986520767211914,,23.59860801696777,,15.711325645446776,24.781230926513672
2009-12-01,60.16027450561523,18.159608840942386,,8.779999732971191,33.262229919433594,10.44924259185791,36.400001525878906,7.199999809265138,39.23686599731445,10.360689163208008,14.68720245361328,19.222064971923828,57.53999328613281,23.95000076293945,6.809507846832275,29.03892517089844,41.72412490844727,23.04999923706055,17.100000381469727,,34.987552642822266,58.69992065429688,9.432744026184082,22.868791580200195,295.230224609375,293.8336486816406,11.01797103881836,138.5,,17.275470733642578,3.478715658187866,21.969669342041016,35.25686264038086,22.37337303161621,35.72638702392578,17.13778305053711,30.665380477905273,21.288658142089844,15.185728073120115,46.43257522583008,19.081422805786133,23.10835266113281,39.84000015258789,47.31011199951172,34.17232131958008,4.898085594177246,82.59684753417969,10.209681510925293,24.425434112548828,10.457049369812012,,24.249664306640625,,15.802504539489744,24.91903686523437
2009-12-02,59.9919548034668,18.14628028869629,,8.960000038146973,33.68701934814453,10.162471771240234,36.5,7.300000190734862,39.460365295410156,10.297615051269533,14.791658401489258,19.25470733642578,57.97362899780274,24.170000076293945,6.650839328765869,29.751941680908203,42.363685607910156,23.15500068664551,17.610000610351562,,35.10866928100586,57.65000534057617,9.632359504699707,22.836713790893555,294.0490417480469,292.6580505371094,11.069972038269043,142.25,,17.476943969726562,3.7426834106445312,22.56811141967773,35.03491973876953,22.627286911010746,35.614925384521484,16.983940124511722,30.6259708404541,21.211557388305664,15.253602027893065,46.77423477172852,19.921260833740234,23.276865005493164,40.040000915527344,47.15468978881836,34.057239532470696,4.930198192596436,81.45578002929688,10.482234954833984,24.33366584777832,10.546287536621094,,24.20370101928711,,15.80951976776123,25.00820732116699
2009-12-03,59.027915954589844,18.079612731933594,,8.789999961853027,33.56680679321289,10.12662410736084,36.0,8.029999732971191,39.20771789550781,10.2503023147583,14.383330345153807,19.391822814941406,56.77603149414063,23.770000457763672,6.670672416687013,28.65693473815918,42.23287963867188,22.82500076293945,17.360000610351562,,34.745269775390625,57.88863754272461,9.767696380615234,22.58814239501953,293.1631774902344,291.7763366699219,11.0584135055542,141.1699981689453,,17.60694122314453,3.8275301456451416,22.64126014709473,33.18243789672852,21.684175491333008,35.14337539672852,16.768566131591793,30.11384391784668,21.05735206604004,15.12607479095459,46.00144577026367,19.898691177368164,23.48366737365723,39.9900016784668,46.33436965942383,33.91559219360352,4.88776445388794,80.21327209472656,10.423304557800293,24.36467170715332,10.603073120117188,,24.004558563232425,,15.641180992126465,24.538028717041016
